name,image_url,video_url
LeBron James,https://i0.wp.com/www.thebasketballnetwork.com/wp-content/uploads/2018/10/USATSI_11356139.jpg?fit=3566%2C2374&ssl=1,tqxz4BrYsCQ?rel=0&amp;controls=0&amp;showinfo=0&amp;start=30
Kevin Durant,https://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2017/12/05/golden-state-warriors-forward-kevin-durant..jpg,jrOz00Lztus?rel=0&amp;controls=0&amp;showinfo=0
Stephen Curry,https://usathoopshype.files.wordpress.com/2017/06/gettyimages-651937002.jpg?w=1000&h=600&crop=1,_-V6E4UYZvI?rel=0&amp;controls=0&amp;showinfo=0
James Harden,https://d1u4oo4rb13yy8.cloudfront.net/article/85041-fkghyaukji-1521614422.jpg,6gJqUGHk7TQ?rel=0&amp;controls=0&amp;showinfo=0
Anthony Davis,https://mk0slamonlinensgt39k.kinstacdn.com/wp-content/uploads/2018/03/anthony_davis_mvp_draymond.jpg,u963aazv6yc?rel=0&amp;controls=0&amp;showinfo=0
Giannis Antetokounmpo,https://imagesvc.timeincapp.com/v3/fan/image?url=https://behindthebuckpass.com/wp-content/uploads/getty-images/2018/04/947938930-milwaukee-bucks-v-boston-celtics-game-two.jpg.jpg&c=sc&w=1600&h=1066,-Qwk4h1OHlc?rel=0&amp;controls=0&amp;showinfo=0
Russell Westbrook,https://www.bigplay.com/wp-content/uploads/2018/01/russ.jpg,Z2qXWq5S1EI?rel=0&amp;controls=0&amp;showinfo=0
Chris Paul,https://www.yardbarker.com/media/3/5/352009e6fdf5d29c06f1bae710cc91f5da3fec73/thumb_16x9/10763381.jpg,UG_YdK9UOo4?rel=0&amp;controls=0&amp;showinfo=0&amp;start=8
Joel Embiid,http://phillyinfluencer.com/wp-content/uploads/2017/02/RS_phillyThumb2_1200x800_20161212_embiid.jpg,CuJARzCGQ7Q?rel=0&amp;controls=0&amp;showinfo=0&amp;start=17
Jimmy Butler,http://www.basketballinsiders.com/wp-content/uploads/2018/10/Jimmy_Butler_Wolves_AP_2017_9.jpg,EuSPe12k0sU?rel=0&amp;controls=0&amp;showinfo=0
Paul George,https://cdn-s3.si.com/s3fs-public/2018/07/01/paul_george_marquee_13.jpg,jcBOByWQSPg?rel=0&amp;controls=0&amp;showinfo=0
Kawhi Leonard,https://usatftw.files.wordpress.com/2018/09/ap-raptors-media-day-basketball.jpg?w=1000&h=600&crop=1,NNSq8Q-_dK0?rel=0&amp;showinfo=0&amp;start=3
Draymond Green,https://cdn.vox-cdn.com/thumbor/BD3TAni6ta8OdV_1KWAjVej_ejI=/0x82:2887x2007/1200x800/filters:focal(0x82:2887x2007)/cdn.vox-cdn.com/uploads/chorus_image/image/47707377/GettyImages-495422300.0.jpg,FrnejMz4LF4?rel=0&amp;controls=0&amp;showinfo=0&amp;start=4
Carmelo Anthony,http://content.sny.tv/assets/images/4/7/0/221181470/cuts/750x422/cut.jpg,EsACZOiFdpc?rel=0&amp;controls=0&amp;showinfo=0
Dwyane Wade,https://clutchpoints.com/wp-content/uploads/2018/04/t22.jpg,tj1Il5yEX8A?rel=0&amp;controls=0&amp;showinfo=0
Damian Lillard,https://imagesvc.timeincapp.com/v3/fan/image?url=https://ripcityproject.com/wp-content/uploads/getty-images/2018/01/909023006-portland-trail-blazers-v-denver-nuggets.jpg.jpg&c=sc&w=3209&h=2139,G3TE8aSZZMA?rel=0&amp;controls=0&amp;showinfo=0
Kyrie Irving,http://images.performgroup.com/di/library/omnisport/1f/37/irving-kyrie-usnews-getty-ftr_1apvmmmdgk9pu1f07zmbm5ugg6.jpg?t=-1945979623&w=960&quality=70,e4_z3W9W8T8?rel=0&amp;controls=0&amp;showinfo=0&amp;start=22
Nikola Jokic,https://cdn.vox-cdn.com/thumbor/Xsf42kYjPQ6Uemz-gYEZD883V5k=/0x0:3824x2545/1200x800/filters:focal(1378x471:1988x1081)/cdn.vox-cdn.com/uploads/chorus_image/image/58712525/usa_today_10574479.0.jpg,6Pp0-TS3Kw4?rel=0&amp;controls=0&amp;showinfo=0
Karl-Anthony Towns,https://usatftw.files.wordpress.com/2018/02/kat.jpg?w=1000&h=600&crop=1,N73ZjmVWyDY?rel=0&amp;controls=0&amp;showinfo=0&amp;start=13
Victor Oladipo,https://cdn-s3.si.com/s3fs-public/2018/03/27/victor_oladipo_indiana_.jpg,RAUw0mjYMUc?rel=0&amp;controls=0&amp;showinfo=0&amp;start=13
Rudy Gobert,http://www.stacksmag.net/wp-content/uploads/2015/01/gobert1.png,fZPE3sQwGeI?rel=0&amp;controls=0&amp;showinfo=0&amp;start=13
Kristaps Porzingis,https://mk0slamonlinensgt39k.kinstacdn.com/wp-content/uploads/2018/07/kpSLAM.png,ufRdT2O_38A?rel=0&amp;controls=0&amp;showinfo=0&amp;start=13
LaMarcus Aldridge,https://media.ksat.com/photo/2018/01/12/lamarcus-aldridge-popovich_1515738443513_11476368_ver1.0_640_360.jpg,/9ZYJoeRWb5g?rel=0&amp;controls=0&amp;showinfo=0
Klay Thompson,https://usatwarriorswire.files.wordpress.com/2018/02/usatsi_10625064.jpg?w=1000&h=600&crop=1?w=1000&crop=0,77BicKzUh3g?rel=0&amp;controls=0&amp;showinfo=0&amp;start=7
Kyle Lowry,https://imagesvc.timeincapp.com/v3/fan/image?url=https%3A%2F%2Fairalamo.com%2Fwp-content%2Fuploads%2Fgetty-images%2F2017%2F10%2F864804158-philadelphia-76ers-v-toronto-raptors.jpg.jpg&c=sc&w=850&h=560,BqnCmL8P7I4?rel=0&amp;controls=0&amp;showinfo=0
