name,image_url,video_url
Drake - Nonstop,https://www.biography.com/.image/t_share/MTQ3NTI2OTA4NzY5MjE2MTI4/drake_photo_by_prince_williams_wireimage_getty_479503454.jpg,XNpGNykVZ6U?rel=0&amp;controls=0&amp;showinfo=0
Drake - God's Plan,https://www.biography.com/.image/t_share/MTQ3NTI2OTA4NzY5MjE2MTI4/drake_photo_by_prince_williams_wireimage_getty_479503454.jpg,ygS_Cwng7IU?rel=0&amp;controls=0&amp;showinfo=0
Future - March Madness,https://www.billboard.com/files/styles/article_main_image/public/media/Future-bonnaroo-2018-a-billboard-1548.jpg,J7F39zQKGaA?rel=0&amp;controls=0&amp;showinfo=0
Future - I'm The Plug,https://www.billboard.com/files/styles/article_main_image/public/media/Future-bonnaroo-2018-a-billboard-1548.jpg,4sDOlryjLB0?rel=0&amp;controls=0&amp;showinfo=0
Future - No Cap,https://www.billboard.com/files/styles/article_main_image/public/media/Future-bonnaroo-2018-a-billboard-1548.jpg,ADApm9xFmmI?rel=0&amp;controls=0&amp;showinfo=0
Future - Doe Doe,https://www.billboard.com/files/styles/article_main_image/public/media/Future-bonnaroo-2018-a-billboard-1548.jpg,V8vYRkxznts?rel=0&amp;controls=0&amp;showinfo=0
Travis Scott - Stargazing,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2018%2F05%2Ftravis-scott-stargazing-new-song-rolling-loud-1.jpg?q=75&w=800&cbr=1&fit=max,2a8PgqWrc_4?rel=0&amp;controls=0&amp;showinfo=0
Travis Scott - Eye 2 Eye,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2018%2F05%2Ftravis-scott-stargazing-new-song-rolling-loud-1.jpg?q=75&w=800&cbr=1&fit=max,U81oapgi6vs?rel=0&amp;controls=0&amp;showinfo=0
Travis Scott - Modern Slavery,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2018%2F05%2Ftravis-scott-stargazing-new-song-rolling-loud-1.jpg?q=75&w=800&cbr=1&fit=max,0BlOuESUp5o?rel=0&amp;controls=0&amp;showinfo=0
A$AP Rocky - Gilligan,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2017%2F04%2Fdram-asap-rocky-juicy-j-gilligan.jpg?q=75&w=800&cbr=1&fit=max,_dL7xcHXvq8?rel=0&amp;controls=0&amp;showinfo=0
A$AP Rocky - A$AP Forever,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2017%2F04%2Fdram-asap-rocky-juicy-j-gilligan.jpg?q=75&w=800&cbr=1&fit=max,BNzc6hG3yN4?rel=0&amp;controls=0&amp;showinfo=0
A$AP Rocky - Love$ick,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2017%2F04%2Fdram-asap-rocky-juicy-j-gilligan.jpg?q=75&w=800&cbr=1&fit=max,AEmVyRR9sB0?rel=0&amp;controls=0&amp;showinfo=0
Quavo - Pass Out,https://www.billboard.com/files/media/quavo-live-2018-u-j-billboard-1548.jpg,2Xi23dMBcAA?rel=0&amp;controls=0&amp;showinfo=0
Post Malone - Better Now,https://media.nu.nl/m/rmtxt17ax1uq_wd1280.jpg/post-malone-geeft-extra-show-in-ziggo-dome.jpg,JdkhJhtxFl4?rel=0&amp;controls=0&amp;showinfo=0
